underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
^SPX,2023-06-02 15:30:00,SPX,2027-12-17,12000.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,4283.8700,4285.0500
^SPX,2023-06-02 15:35:00,SPX,2027-12-17,12000.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,4283.8800,4284.9300
^SPX,2023-06-02 15:40:00,SPX,2027-12-17,12000.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,4284.7300,4285.7600
^SPX,2023-06-02 15:45:00,SPX,2027-12-17,12000.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,4283.4400,4284.4800
^SPX,2023-06-02 15:50:00,SPX,2027-12-17,12000.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,4285.1100,4286.2300
^SPX,2023-06-02 15:55:00,SPX,2027-12-17,12000.000,P,0.0000,0.0000,0.0000,0.0000,0,5,5936.4000,5,6128.4000,4284.5300,4285.5900
^SPX,2023-06-02 16:00:00,SPX,2027-12-17,12000.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,4281.0500,4282.1100
^SPX,2023-06-02 16:05:00,SPX,2027-12-17,12000.000,P,0.0000,0.0000,0.0000,0.0000,0,5,5939.6000,5,6131.6000,4252.8300,4302.5500
^SPX,2023-06-02 16:10:00,SPX,2027-12-17,12000.000,P,0.0000,0.0000,0.0000,0.0000,0,5,5938.6000,5,6130.6000,4257.0300,4301.6100
^SPX,2023-06-02 16:15:00,SPX,2027-12-17,12000.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,4260.5800,4297.5600
^SPX,2023-06-02 09:35:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3258.1000,7,3259.6000,4256.8500,4261.7100
^SPX,2023-06-02 09:40:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3260.8000,8,3262.2000,4260.0000,4263.8600
^SPX,2023-06-02 09:45:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3262.8000,8,3264.2000,4262.7000,4266.1700
^SPX,2023-06-02 09:50:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3256.3000,1,3257.8000,4255.7600,4259.1100
^SPX,2023-06-02 09:55:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3255.9000,7,3257.5000,4255.2300,4258.3900
^SPX,2023-06-02 10:00:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3245.9000,7,3247.5000,4245.2100,4248.1200
^SPX,2023-06-02 10:05:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,1,3249.0000,1,3250.6000,4249.1300,4251.6400
^SPX,2023-06-02 10:10:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3250.2000,1,3251.6000,4249.7000,4252.2200
^SPX,2023-06-02 10:15:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,1,3258.8000,8,3260.3000,4258.4200,4260.7500
^SPX,2023-06-02 10:20:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3255.5000,1,3256.8000,4255.3700,4257.6500
^SPX,2023-06-02 10:25:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3251.9000,7,3253.3000,4251.4500,4253.7500
^SPX,2023-06-02 10:30:00,SPXW,2023-06-02,1000.000,C,3255.3600,3255.3600,3255.3600,3255.3600,1,8,3257.5000,8,3259.1000,4257.2000,4259.3000
^SPX,2023-06-02 10:35:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3256.6000,7,3257.9000,4256.0200,4258.0900
^SPX,2023-06-02 10:40:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3262.1000,7,3263.5000,4262.3000,4264.2800
^SPX,2023-06-02 10:45:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3265.0000,1,3266.3000,4264.8500,4266.7200
^SPX,2023-06-02 10:50:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3267.7000,1,3269.0000,4267.4900,4269.4300
^SPX,2023-06-02 10:55:00,SPXW,2023-06-02,5000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3268.1000,7,3269.4000,4268.2500,4270.0700
^SPX,2023-06-02 11:00:00,SPXW,2023-06-02,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,7,3270.9000,8,3272.3000,4270.6400
